""	"PotRichness"	"HOa"	"HOb"	"DWa"	"DWb"	"MGa"	"MGb"	"SHa"	"SHb"	"Lambda"	"File"	"Variable"	"PDF"	"Model"
"38"	"14.52064"	"1e-05"	"15.54882"	"0"	"1e+07"	"99.98077"	"107.0185"	"1.00009e-05"	"134.9819"	"95.88439"	"./Results/Model Fits/Abu3/OVNA_PIUNs_pool.nodw.model.txt"	"OVNA"	"PIUNs"	"nodw.model"
"39"	"16"	"30"	"14.33939"	"0"	"1e+07"	"1.606222e-05"	"139.0728"	"1.183446e-05"	"123.0756"	"2.674028"	"./Results/Model Fits/Abu3/SECA_PIUNs_pool.nodw.model.txt"	"SECA"	"PIUNs"	"nodw.model"
"40"	"20"	"30"	"16.20191"	"0"	"1e+07"	"99.99147"	"200"	"0.0004606262"	"191.8742"	"76.55788"	"./Results/Model Fits/Abu3/SPEA_PIUNs_pool.nodw.model.txt"	"SPEA"	"PIUNs"	"nodw.model"
"41"	"30"	"30"	"19.95537"	"0"	"1e+07"	"1.032459e-05"	"191.2138"	"100"	"182.8373"	"83.15923"	"./Results/Model Fits/Abu3/TOTA_PIUNs_pool.nodw.model.txt"	"TOTA"	"PIUNs"	"nodw.model"
"42"	"4"	"29.99904"	"12.08437"	"0"	"1e+07"	"99.99089"	"104.3695"	"99.99918"	"146.9326"	"58.18864"	"./Results/Model Fits/Abu3/TRFA_PIUNs_pool.nodw.model.txt"	"TRFA"	"PIUNs"	"nodw.model"
"43"	"7.000223"	"1e-05"	"6.945504"	"0"	"1e+07"	"15.76375"	"24.72421"	"12.64179"	"99.72026"	"1.143031"	"./Results/Model Fits/Abu3/UBIA_PIUNs_pool.nodw.model.txt"	"UBIA"	"PIUNs"	"nodw.model"
"44"	"8.000446"	"30"	"12.33063"	"0"	"1e+07"	"1.000031e-05"	"73.50084"	"99.99186"	"70.60019"	"79.92152"	"./Results/Model Fits/Abu3/UNFA_PIUNs_pool.nodw.model.txt"	"UNFA"	"PIUNs"	"nodw.model"
"45"	"9"	"30"	"11.9125"	"0"	"1e+07"	"0.02289672"	"122.4894"	"99.9999"	"70.27081"	"33.68069"	"./Results/Model Fits/Abu3/UNNA_PIUNs_pool.nodw.model.txt"	"UNNA"	"PIUNs"	"nodw.model"
"46"	"18"	"30"	"15.41905"	"229.4807"	"381.6623"	"0"	"1e+07"	"1e-05"	"140.2992"	"564.9385"	"./Results/Model Fits/Abu3/CVNA_PIUNs_pool.nomg.model.txt"	"CVNA"	"PIUNs"	"nomg.model"
"47"	"4"	"30"	"13.7901"	"783.5353"	"799.9993"	"0"	"1e+07"	"99.99968"	"150.5805"	"86.45137"	"./Results/Model Fits/Abu3/EXCA_PIUNs_pool.nomg.model.txt"	"EXCA"	"PIUNs"	"nomg.model"
"48"	"19"	"30"	"14.37015"	"1e-05"	"411.7204"	"0"	"1e+07"	"100"	"91.63118"	"478.3393"	"./Results/Model Fits/Abu3/GENA_PIUNs_pool.nomg.model.txt"	"GENA"	"PIUNs"	"nomg.model"
